region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
EU,2v2,43672836,Fróstbolt,Cigår,Spineshatter,Mage,Arcane,2005,2005,3102,3003
EU,2v2,51710212,Trinketlate,Onehpbtw,Spineshatter,Priest,Discipline,2419,2419,807,742
EU,2v2,84553677,Wirtz,Dráqq,Thunderstrike,Priest,Discipline,2011,2011,2891,2794
EU,2v2,54548207,Fenech,Fenxyo,Spineshatter,Rogue,Subtlety,2197,2197,1453,1368
EU,5v5,56324134,Howdypartner,Lilshocky,Spineshatter,Shaman,Restoration,1935,1935,1586,1519
EU,3v3,43104706,Albì,Albizy,Spineshatter,Mage,Frost,2331,2331,381,341
US,2v2,60985668,Mirlôl,ßabydøll,Nightslayer,,,2513,2513,263,235
US,5v5,65763983,Gorbler,Ößälkënrïch,Nightslayer,,,1832,1832,2044,1991
US,3v3,73011953,Stevemurkel,Dreádadin,Nightslayer,Paladin,Holy,1734,1734,3325,3254
