region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
EU,5v5,48951794,Dandana,Spineshatter,Horde,Shaman,Restoration,Orc,2460,20,119,19,86
EU,5v5,51848276,Goztrak,Spineshatter,Horde,Shaman,Restoration,Orc,2439,35,165,97,63
EU,5v5,42724525,Àzx,Spineshatter,Alliance,Mage,Frost,Gnome,2434,43,179,10,95
EU,5v5,48109102,Aktiv,Spineshatter,Horde,Shaman,Restoration,Orc,2433,45,218,166,57
EU,5v5,46903468,Jînz,Spineshatter,Alliance,Rogue,Combat,Human,2414,68,154,78,66
EU,5v5,52303925,Regaîn,Spineshatter,Horde,Rogue,Subtlety,Undead,2409,90,82,19,81
EU,5v5,47615213,Tazàr,Spineshatter,Horde,Warlock,Affliction,Orc,2396,100,89,12,88
EU,5v5,51517425,Avizura,Spineshatter,Alliance,,,,2393,101,101,11,90
EU,5v5,42684122,Místerpwns,Spineshatter,Horde,Shaman,Restoration,Orc,2296,115,159,42,79
EU,5v5,45193594,Crunchyfrog,Spineshatter,Horde,Shaman,Restoration,Orc,2275,133,168,124,58
EU,5v5,43599014,Oriüs,Spineshatter,Horde,Druid,Restoration,Tauren,2271,135,78,29,73
EU,5v5,52358136,Liruat,Spineshatter,Horde,Shaman,Enhancement,Tauren,2271,135,78,29,73
EU,5v5,46892125,Dadax,Spineshatter,Horde,Druid,Restoration,Tauren,2270,138,74,16,82
EU,5v5,42809253,Chabã,Spineshatter,Horde,,,,2264,146,208,153,58
EU,5v5,56756940,Olisee,Spineshatter,Horde,Druid,Restoration,Tauren,2236,207,111,62,64
EU,5v5,52176995,Soullys,Spineshatter,Horde,Shaman,Elemental,Orc,2234,210,111,81,58
EU,5v5,57040455,Amenora,Spineshatter,Horde,Hunter,Beast Mastery,Orc,2232,215,100,74,57
EU,5v5,52195089,Umog,Spineshatter,Horde,Shaman,Elemental,Troll,2226,229,235,176,57
EU,5v5,42823129,Fcbarca,Spineshatter,Horde,Druid,Restoration,Tauren,2223,244,91,55,62
EU,5v5,55074231,Cowskiy,Spineshatter,Horde,Warrior,Arms,Tauren,2221,255,128,83,61
EU,5v5,42708182,Waraxe,Spineshatter,Horde,Warrior,Arms,Orc,2220,267,135,81,62
EU,5v5,57325344,Akashai,Spineshatter,Horde,Hunter,Beast Mastery,Orc,2219,275,89,56,61
EU,5v5,48962763,Gøxy,Spineshatter,Horde,Warlock,Demonology,Orc,2218,278,172,130,57
EU,5v5,48446316,Momohw,Spineshatter,Horde,Warrior,Fury,Tauren,2218,278,69,25,73
EU,5v5,49327835,Qttr,Spineshatter,Horde,Shaman,Restoration,Orc,2216,290,175,135,56
EU,5v5,48345853,Insômniâx,Spineshatter,Horde,Mage,Frost,Troll,2212,321,159,113,58
EU,5v5,53499205,Worldstarxtv,Spineshatter,Horde,Shaman,Elemental,Orc,2211,338,214,142,60
EU,5v5,49322860,Balkandiddy,Spineshatter,Horde,Shaman,Enhancement,Orc,2209,369,87,26,77
EU,5v5,57265049,Nffx,Spineshatter,Horde,Paladin,Retribution,Blood Elf,2209,369,87,59,60
EU,5v5,57003650,Pinetamams,Spineshatter,Horde,Warrior,Arms,Orc,2207,393,82,50,62
EU,5v5,44497704,Certifiedgoy,Spineshatter,Alliance,Druid,Restoration,Night Elf,2202,420,97,38,72
EU,5v5,56756932,Mdr,Spineshatter,Horde,Warrior,Arms,Orc,2201,429,104,49,68
EU,5v5,43574638,Itsmaxim,Spineshatter,Horde,Mage,Arcane,Troll,2200,453,387,274,59
EU,5v5,43482892,Zxi,Spineshatter,Horde,Rogue,Combat,Undead,2196,486,124,93,57
EU,5v5,42789760,Zeteba,Spineshatter,Alliance,Priest,Discipline,Dwarf,2194,509,94,65,59
EU,5v5,53713459,Allthispower,Spineshatter,Alliance,Shaman,Restoration,Draenei,2192,544,275,215,56
EU,5v5,53878999,Buinogolova,Spineshatter,Horde,Hunter,Beast Mastery,Orc,2192,544,126,79,61
EU,5v5,49697523,Purdex,Spineshatter,Alliance,Paladin,Protection,Dwarf,2192,544,164,133,55
EU,5v5,53071617,Insomniax,Spineshatter,Horde,Mage,Arcane,Undead,2192,544,231,141,62
EU,5v5,53928292,Dâzzle,Spineshatter,Horde,Priest,Discipline,Troll,2188,591,141,124,53
EU,5v5,53926905,Àrenaone,Spineshatter,Alliance,Rogue,Subtlety,Human,2188,591,73,56,57
EU,5v5,44177113,Derguez,Spineshatter,Alliance,Warrior,Arms,Gnome,2181,614,58,17,77
EU,5v5,46768138,Barfalot,Spineshatter,Horde,Warrior,Fury,Orc,2179,616,58,43,57
EU,5v5,43077799,Jnaza,Spineshatter,Horde,Rogue,Subtlety,Undead,2179,616,63,28,69
EU,5v5,47639181,Épuisé,Spineshatter,Horde,Druid,Restoration,Tauren,2174,625,98,51,66
EU,5v5,54049166,Xzevi,Spineshatter,Horde,Rogue,Subtlety,Undead,2164,640,43,9,83
EU,5v5,43885812,Miswaki,Spineshatter,Horde,Mage,Arcane,Undead,2151,653,157,91,63
EU,5v5,52615941,Grågås,Spineshatter,Horde,Druid,Restoration,Tauren,2146,661,54,25,68
EU,5v5,43654083,Mypa,Spineshatter,Horde,Shaman,Restoration,Orc,2146,661,150,139,52
EU,5v5,52580464,Soullyr,Spineshatter,Horde,Rogue,Combat,Undead,2144,665,77,50,61
EU,5v5,55894763,Kumaushi,Spineshatter,Horde,Druid,Feral Combat,Tauren,2132,687,52,30,63
EU,5v5,51172891,Accunxd,Spineshatter,Horde,Priest,Discipline,Undead,2128,694,72,44,62
EU,5v5,52845240,Massai,Spineshatter,Horde,Hunter,Beast Mastery,Orc,2114,704,199,152,57
EU,5v5,52906995,Dogpatrol,Spineshatter,Horde,Warlock,Destruction,Undead,2092,729,33,6,85
EU,5v5,55725403,Kházadum,Spineshatter,Alliance,Warrior,Arms,Dwarf,2077,763,47,22,68
EU,5v5,54188820,Dîm,Spineshatter,Horde,Priest,Discipline,Undead,2073,773,110,83,57
EU,5v5,56967404,Tastemybolt,Spineshatter,Horde,Warlock,Demonology,Orc,2067,788,27,7,79
EU,5v5,44800499,Andrux,Spineshatter,Horde,Druid,Restoration,Tauren,2065,791,67,47,59
EU,5v5,53748858,Topdíff,Spineshatter,Horde,Warlock,Demonology,Orc,2060,804,55,48,53
EU,5v5,46537577,Curatorxd,Spineshatter,Alliance,Paladin,Holy,Dwarf,2036,897,49,36,58
EU,5v5,47267388,Painé,Spineshatter,Horde,Druid,Restoration,Tauren,2031,921,32,10,76
EU,5v5,44287296,Xaeros,Spineshatter,Horde,Rogue,Subtlety,Undead,2016,986,67,24,74
EU,5v5,43456506,Peterpastoor,Spineshatter,Alliance,Priest,Holy,Dwarf,1992,1152,100,60,62
EU,5v5,44927801,Soully,Spineshatter,Horde,Warrior,Fury,Orc,1990,1164,100,84,54
EU,5v5,54079579,Crepa,Spineshatter,Alliance,Warrior,Arms,Gnome,1979,1246,59,45,57
EU,5v5,52853668,Zvyk,Spineshatter,Alliance,Warlock,Destruction,Human,1976,1262,151,120,56
EU,5v5,50279723,Aktivxr,Spineshatter,Alliance,Rogue,Subtlety,Human,1948,1470,132,124,52
EU,5v5,47707721,Kjusham,Spineshatter,Horde,Shaman,Restoration,Orc,1931,1617,152,144,51
EU,5v5,56384877,Feetnasty,Spineshatter,Alliance,Priest,Discipline,Dwarf,1927,1658,100,84,54
EU,5v5,44766653,Vekin,Spineshatter,Alliance,Warrior,Arms,Dwarf,1926,1666,83,56,60
EU,5v5,57214860,Grumpydeux,Spineshatter,Alliance,Priest,Discipline,Dwarf,1920,1719,42,27,61
EU,5v5,54154066,Habachamp,Spineshatter,Horde,Rogue,Subtlety,Undead,1917,1751,28,15,65
EU,5v5,55517721,Mamontgame,Spineshatter,Alliance,Shaman,Enhancement,Draenei,1907,1861,69,55,56
EU,5v5,42603911,Deeznoots,Spineshatter,Alliance,Paladin,Holy,Dwarf,1902,1944,38,21,64
EU,5v5,57190073,Accuntwo,Spineshatter,Horde,Priest,Discipline,Troll,1899,1979,57,42,58
EU,5v5,42613243,Momoh,Spineshatter,Horde,Priest,Discipline,Undead,1891,2083,73,43,63
EU,5v5,46048353,Jinzy,Spineshatter,Alliance,Priest,Discipline,Dwarf,1887,2119,30,17,64
EU,5v5,51319340,Dudubambam,Spineshatter,Horde,Druid,Restoration,Tauren,1882,2183,31,23,57
EU,5v5,57134104,Ratal,Spineshatter,Horde,Druid,Restoration,Tauren,1878,2246,26,15,63
EU,5v5,43504413,Frostxaxa,Spineshatter,Alliance,,,,1874,2299,25,7,78
EU,5v5,55945699,Rovr,Spineshatter,Horde,Rogue,Subtlety,Undead,1873,2316,24,22,52
EU,5v5,54311490,Bambäm,Spineshatter,Horde,Warrior,Arms,Orc,1870,2368,33,23,59
EU,5v5,43318356,Noope,Spineshatter,Alliance,Priest,Discipline,Dwarf,1866,2421,70,45,61
EU,5v5,53881996,Aktivxpr,Spineshatter,Alliance,Priest,Discipline,Dwarf,1866,2421,166,162,51
EU,5v5,56751905,Totemdonkey,Spineshatter,Horde,Shaman,Restoration,Orc,1863,2459,43,25,63
EU,5v5,54369004,Yunkie,Spineshatter,Horde,Priest,Discipline,Undead,1857,2556,89,62,59
EU,5v5,48928895,Mahalin,Spineshatter,Horde,Druid,Balance,Tauren,1845,2779,29,12,71
EU,5v5,43312784,Johncenà,Spineshatter,Horde,Shaman,Restoration,Orc,1838,2915,40,21,66
EU,5v5,54375338,Grumpyguy,Spineshatter,Horde,Priest,Discipline,Undead,1837,2932,27,9,75
EU,5v5,46479210,Fatigué,Spineshatter,Horde,Priest,Discipline,Undead,1836,2955,76,54,58
EU,5v5,71737751,Grumpyboy,Thunderstrike,Horde,Priest,Discipline,Undead,1828,3118,31,16,66
EU,5v5,55386792,Epouvantable,Spineshatter,Horde,Warlock,Demonology,Orc,1820,3294,59,46,56
EU,5v5,53754721,Acontresens,Spineshatter,Horde,Druid,Restoration,Tauren,1818,3344,169,91,65
EU,5v5,43878027,Pireautiste,Spineshatter,Alliance,,,,1781,4190,79,76,51
EU,5v5,54863541,Bckstrboy,Spineshatter,Horde,Paladin,Retribution,Blood Elf,1775,4354,18,13,58
