region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
US,3v3,72924191,Swåcked,Nightslayer,Alliance,Rogue,Combat,Human,2505,5,347,201,63
US,3v3,72489327,Tieriaede,Nightslayer,Alliance,Priest,Holy,Dwarf,2498,13,71,14,84
US,3v3,64431042,Relyzw,Nightslayer,Alliance,Warrior,Arms,Gnome,2485,26,170,72,70
US,3v3,74246996,Moopzy,Nightslayer,Alliance,Mage,Frost,Human,2416,59,224,121,65
US,3v3,66799049,Widelatlarry,Nightslayer,Alliance,Mage,Frost,Gnome,2403,67,218,156,58
US,3v3,72892497,Sebgo,Nightslayer,Alliance,Druid,Restoration,Night Elf,2359,81,223,158,59
US,3v3,69922465,Slemmyx,Nightslayer,Alliance,Warlock,Demonology,Human,2339,108,116,90,56
US,3v3,69448951,Xysha,Nightslayer,Alliance,,,,2337,110,188,73,72
US,3v3,73833320,Limity,Nightslayer,Horde,Warlock,Demonology,Undead,2324,121,268,199,57
US,3v3,74137686,Rextko,Nightslayer,Horde,Paladin,Retribution,Blood Elf,2318,134,52,25,68
US,3v3,59408504,Angríst,Nightslayer,Alliance,Rogue,Subtlety,Human,2316,136,118,63,65
US,3v3,73033109,Duelist,Nightslayer,Alliance,Warlock,Affliction,Gnome,2303,156,237,162,59
US,3v3,73361474,Vèév,Nightslayer,Alliance,Priest,Discipline,Dwarf,2302,160,223,168,57
US,3v3,74483484,Bpdgripx,Nightslayer,Alliance,Rogue,Subtlety,Human,2291,178,46,20,70
US,3v3,62193002,Backshotterx,Dreamscythe,Alliance,Rogue,Subtlety,Human,2287,186,231,178,56
US,3v3,75085416,Glponebaddie,Nightslayer,Alliance,Priest,Discipline,Dwarf,2266,239,63,33,66
US,3v3,74224166,Gentlehugz,Nightslayer,Alliance,Druid,Restoration,Night Elf,2246,304,176,114,61
US,3v3,72628962,Runfromfear,Nightslayer,Alliance,Druid,Restoration,Night Elf,2245,305,308,266,54
US,3v3,77004825,Sebggo,Nightslayer,Horde,Druid,Restoration,Tauren,2223,345,95,60,61
US,3v3,77117405,Vavou,Nightslayer,Alliance,,,,2223,345,138,63,69
US,3v3,72229644,Farmerfredw,Nightslayer,Alliance,Warrior,Arms,Gnome,2203,371,158,120,57
US,3v3,53828239,Alwaysresist,Nightslayer,Alliance,Mage,Frost,Gnome,2189,397,169,110,61
US,3v3,64219862,Hukah,Nightslayer,Horde,Warrior,Fury,Orc,2189,397,236,163,59
US,3v3,62185819,Pfdx,Nightslayer,Alliance,Warlock,Demonology,Human,2151,446,166,117,59
US,3v3,55955189,Olinimx,Nightslayer,Alliance,Rogue,Combat,Human,2135,468,199,181,52
