region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
EU,3v3,43672836,Fróstbolt,Cigår,Spineshatter,Mage,Arcane,1808,1808,3211,3096
EU,3v3,51710212,Trinketlate,Onehpbtw,Spineshatter,Priest,Discipline,2016,2016,1216,1139
EU,3v3,84553677,Wirtz,Dráqq,Thunderstrike,Priest,Discipline,1791,1791,3493,3375
EU,3v3,56324134,Howdypartner,Lilshocky,Spineshatter,Shaman,Restoration,1853,1853,2667,2559
EU,3v3,43104706,Albì,Albizy,Spineshatter,Mage,Frost,2331,2331,381,341
