region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
EU,3v3,54223347,Phluke,Sauroman,Spineshatter,Priest,Discipline,1820,1820,4665,4502
EU,3v3,61712046,Inqúis,Inquis,Spineshatter,Rogue,Combat,2453,2453,137,111
EU,3v3,65562913,Yàm,Turneditdown,Spineshatter,Warrior,Arms,1955,1955,2437,2303
EU,3v3,45435458,Magiavende,Bené,Spineshatter,Mage,Arcane,2239,2239,602,533
EU,3v3,43847032,Claprabbit,Madhatter,Spineshatter,,,1952,1952,2488,2352
EU,3v3,47673493,Nokhilol,Sayanora,Spineshatter,Rogue,Subtlety,2004,2004,1925,1807
EU,3v3,47903104,Coldapproach,Bratly,Spineshatter,Rogue,Subtlety,1925,1925,2825,2686
EU,3v3,57637389,Tàdx,Tâd,Spineshatter,Druid,Restoration,1939,1939,2644,2507
EU,3v3,65780608,Sneakylinkx,Unknownxd,Spineshatter,,,1892,1892,3318,3171
EU,3v3,50593116,Iñqúis,Pláýèr,Spineshatter,Rogue,Subtlety,2630,2630,20,14
EU,3v3,62455717,Gankstep,Rekteuhr,Spineshatter,Rogue,Subtlety,1942,1942,2607,2471
