region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
US,3v3,56670282,Niien,Nightslayer,Alliance,Druid,Restoration,Night Elf,2595,2,938,594,61
US,3v3,60985668,Crøwñchåsér,Nightslayer,Alliance,,,,2540,12,97,45,68
US,3v3,75526128,Bighogcranks,Nightslayer,Alliance,Rogue,Subtlety,Human,2538,14,188,55,77
US,3v3,72129822,Harkeno,Nightslayer,Alliance,,,,2522,50,93,29,76
US,3v3,73986941,Cripton,Nightslayer,Alliance,Mage,Frost,Gnome,2513,63,1099,660,62
US,3v3,77961565,Joxißaba,Nightslayer,Alliance,,,,2504,64,365,207,64
US,3v3,57967779,Mogeii,Nightslayer,Alliance,Rogue,Subtlety,Human,2501,66,82,28,75
US,3v3,74325772,Kahane,Nightslayer,Alliance,Priest,Discipline,Dwarf,2492,69,965,572,63
US,3v3,76983421,Allahxuakbar,Nightslayer,Alliance,Warlock,Demonology,Human,2488,72,1368,1013,57
US,3v3,75241024,Korlicz,Nightslayer,Alliance,Priest,Discipline,Dwarf,2485,73,934,649,59
US,3v3,78099989,Shingoat,Nightslayer,Horde,Rogue,Subtlety,Undead,2474,78,190,78,71
US,3v3,78026857,Kobeelol,Nightslayer,Alliance,Rogue,Subtlety,Human,2474,78,302,232,57
US,3v3,74284030,Jozushka,Nightslayer,Alliance,Priest,Discipline,Dwarf,2458,81,446,180,71
US,3v3,78522739,Nëxïs,Nightslayer,Alliance,Rogue,Subtlety,Human,2455,82,273,154,64
US,3v3,78879540,Mancinella,Nightslayer,Alliance,Priest,Holy,Dwarf,2446,89,78,34,70
US,3v3,78558994,Onewhokñocks,Nightslayer,Alliance,,,,2444,91,677,424,61
US,3v3,77005311,Dpaspatur,Nightslayer,Horde,Priest,Discipline,Undead,2443,93,1325,728,65
US,3v3,67851720,Shaqlol,Nightslayer,Alliance,Rogue,Subtlety,Human,2435,99,149,66,69
US,3v3,55762652,Laynerzx,Nightslayer,Alliance,Mage,Frost,Gnome,2427,100,619,222,74
US,3v3,77292718,Popeshðw,Nightslayer,Alliance,Priest,Discipline,Dwarf,2416,106,128,60,68
US,3v3,79589388,Rokuj,Nightslayer,Horde,Rogue,Subtlety,Undead,2405,112,106,67,61
US,3v3,77514337,Pokecent,Nightslayer,Horde,Mage,Frost,Undead,2399,119,755,464,62
US,3v3,64079707,Nexzo,Nightslayer,Horde,Warrior,Arms,Orc,2397,121,368,279,57
US,3v3,72821085,Cartoonz,Nightslayer,Alliance,Mage,Frost,Gnome,2374,135,50,24,68
