region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
US,2v2,79102013,Tyanoz,Djslampig,Dreamscythe,Warrior,Arms,1806,1806,4869,4703
US,2v2,78676204,Dwarfdraa,Adraà,Nightslayer,Priest,Holy,2010,2010,2206,2099
US,2v2,77800437,Røadtoisekai,Jayneway,Nightslayer,Mage,Frost,1813,1813,4726,4561
US,2v2,69740316,Tortaspanker,Alabamamañ,Nightslayer,Warrior,Arms,1875,1875,3767,3626
US,2v2,76900297,Nickyoqt,Zugginsadork,Nightslayer,Rogue,Subtlety,1821,1821,4579,4415
US,2v2,76892142,Purpskn,Vitaliz,Nightslayer,Priest,Shadow,2170,2170,1154,1068
US,2v2,77195601,Pubbyspuddy,Bitcónnect,Nightslayer,Mage,Arcane,2185,2185,1095,1013
US,2v2,77786745,Serialazx,Insomniaq,Nightslayer,Priest,Shadow,2235,2235,933,856
US,2v2,74141744,Neilyoqt,Oneglaivepls,Nightslayer,Rogue,Combat,2847,2847,57,50
US,2v2,65786848,Pokelink,Pokelinkz,Nightslayer,Mage,Frost,1814,1814,4708,4543
US,2v2,78075000,Ashdud,Hardmothr,Nightslayer,Druid,Restoration,1843,1843,4197,4041
US,2v2,72815821,Prîêst,Explicitlul,Nightslayer,Rogue,Combat,2527,2527,353,311
US,2v2,79009311,Belast,Brorick,Nightslayer,Warlock,Demonology,1841,1841,4226,4068
US,2v2,72063524,Dmtspirit,Ðade,Nightslayer,Priest,Discipline,2030,2030,1964,1861
US,2v2,58850271,Sxmple,Sadboylowko,Nightslayer,Rogue,Combat,1900,1900,3483,3348
US,2v2,72867113,Bigdossa,Klindas,Nightslayer,Warrior,Arms,1963,1963,2833,2711
US,2v2,66969030,Qrtrpounder,Youngjaé,Nightslayer,Druid,Restoration,2275,2275,828,753
US,2v2,79027799,Yvienne,Ruiñ,Nightslayer,Warlock,Affliction,2161,2161,1186,1100
