region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
US,3v3,78676204,Dwarfdraa,Adraà,Nightslayer,Priest,Holy,1966,1966,1804,1660
US,3v3,76900297,Nickyoqt,Zugginsadork,Nightslayer,Rogue,Subtlety,2071,2071,1023,918
US,3v3,76892142,Purpskn,Vitaliz,Nightslayer,Priest,Shadow,2048,2048,1145,1035
US,3v3,77195601,Pubbyspuddy,Bitcónnect,Nightslayer,Mage,Arcane,2317,2317,271,229
US,3v3,77786745,Serialazx,Insomniaq,Nightslayer,Priest,Shadow,1963,1963,1833,1689
US,3v3,74141744,Neilyoqt,Oneglaivepls,Nightslayer,Rogue,Combat,1828,1828,3648,3457
US,3v3,72815821,Prîêst,Explicitlul,Nightslayer,Rogue,Combat,2194,2194,577,506
US,3v3,73897709,Lildossa,Poocumpiss,Nightslayer,Warrior,Arms,1847,1847,3324,3139
US,3v3,72063524,Dmtspirit,Ðade,Nightslayer,Priest,Discipline,1979,1979,1708,1566
US,3v3,77142851,Dumpyz,Downyz,Nightslayer,Shaman,Elemental,1912,1912,2428,2264
US,3v3,77773661,Manabern,Bigblaqdisc,Nightslayer,Priest,Discipline,1763,1763,4969,4752
US,3v3,58850271,Sxmple,Sadboylowko,Nightslayer,Rogue,Combat,1912,1912,2428,2264
US,3v3,72867113,Bigdossa,Klindas,Nightslayer,Warrior,Arms,2056,2056,1101,993
US,3v3,66969030,Qrtrpounder,Youngjaé,Nightslayer,Druid,Restoration,1854,1854,3204,3021
