region,bracket,guid,old_name,new_name,server,class,spec,rating_old,rating_new,ranking_old,ranking_new
EU,5v5,54223347,Phluke,Sauroman,Spineshatter,Priest,Discipline,2111,2111,1532,1368
EU,5v5,61712046,Inqúis,Inquis,Spineshatter,Rogue,Subtlety,2252,2252,895,750
EU,5v5,65562913,Yàm,Turneditdown,Spineshatter,Warrior,Arms,1993,1993,3296,3116
EU,5v5,45435458,Magiavende,Bené,Spineshatter,Mage,Arcane,2174,2174,1234,1075
EU,5v5,55028332,Miitsuxd,Kuumatyttö,Spineshatter,Rogue,Combat,2266,2266,697,564
EU,5v5,43847032,Claprabbit,Madhatter,Spineshatter,,,2095,2095,1678,1510
EU,5v5,47673493,Nokhilol,Sayanora,Spineshatter,Rogue,Subtlety,2060,2060,2002,1832
EU,5v5,45666558,Nïq,Niqz,Spineshatter,Priest,Discipline,2037,2037,2260,2088
EU,5v5,47903104,Coldapproach,Bratly,Spineshatter,Rogue,Subtlety,2041,2041,2214,2042
EU,5v5,65780608,Sneakylinkx,Unknownxd,Spineshatter,,,1942,1942,4409,4216
EU,5v5,64642074,Aletheiia,Alettaa,Thunderstrike,Mage,Frost,1967,1967,3806,3618
EU,5v5,50593116,Iñqúis,Pláýèr,Spineshatter,Rogue,Subtlety,2181,2181,1211,1053
